string_field_0,string_field_3,string_field_6,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_45
Response,Response,Response,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,C,Perl,None,other (please specify),Response
What Country or Region do you live in?,How many years of IT/Programming experience do you have?,Which of the following best describes your occupation?,Which languages are you proficient in?,,,,,,,,,,,,,"Including bonus, what is your annual compensation in USD?"
Germany,,,,,,,,,,,,,,,,
United States of America,11,,,,,,,,,,,,,,,
Other Europe,41310,,,,,,,,,,,,,,,
Australia,<2,,,,,,,,,,,,,,,
United Kingdom,41310,,,,,,,,,,,,,,,
Africa,,,,,,,,,,,,,,,,
Other Europe,41310,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
Other Europe,41310,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
South America,41310,,,,,,,,,,,,,,,
Africa,,,,,,,,,,,,,,,,
United Kingdom,<2,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
United States of America,41310,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Canada,41435,,,,,,,,,,,,,,,
United States of America,41435,,,,,,,,,,,,,,,
United Kingdom,41435,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,
Germany,41310,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,
Other Europe,41435,,,,,,,,,,,,,,,
South America,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Netherlands,11,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
United States of America,41435,,,,,,,,,,,,,,,
United States of America,41435,,,,,,,,,,,,,,,
United Kingdom,41310,,,,,,,,,,,,,,,
United States of America,11,,,,,,,,,,,,,,,
Italy,41310,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Middle East,,,,,,,,,,,,,,,,
Other Asia,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,
Other Europe,41435,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,
Canada,41310,,,,,,,,,,,,,,,
Other Europe,<2,,,,,,,,,,,,,,,
France,41435,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
Other Asia,41310,,,,,,,,,,,,,,,
Netherlands,41310,,,,,,,,,,,,,,,
United Kingdom,41310,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,
Other Europe,<2,,,,,,,,,,,,,,,
Russia,<2,,,,,,,,,,,,,,,
