string_field_0,string_field_4,string_field_6,string_field_55,string_field_56,string_field_57,string_field_58,string_field_59,string_field_60,string_field_61,string_field_62,string_field_63,string_field_64,string_field_65,string_field_66,string_field_67,string_field_68,string_field_69,string_field_100
What Country or Region do you live in?,How would you best describe the industry you currently work in?,Which of the following best describes your occupation?,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2013?",Which of the following languages or technologies have you used significantly in the past year?,,,,,,,,,,,,,,"Including bonus, what is your annual compensation in USD?"
Netherlands,Software Products,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,
Australia,Web Services,,,,,,,,,,,,,,,,,
United States of America,Web Services,,,,,,,,,,,,,,,,,
United States of America,Education,,,,,,,,,,,,,,,,,
Other Europe,Consulting,,,,,,,,,,,,,,,,,
Other Europe,Software Products,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,
Other Europe,Web Services,,,,,,,,,,,,,,,,,
Other Europe,Education,,,,,,,,,,,,,,,,,
United Kingdom,Web Services,,,,,,,,,,,,,,,,,
Australasia,Software Products,,,,,,,,,,,,,,,,,
Other Europe,Software Products,,,,,,,,,,,,,,,,,
Other Europe,Web Services,,,,,,,,,,,,,,,,,
Other Europe,Web Services,,,,,,,,,,,,,,,,,
Other Europe,Web Services,,,,,,,,,,,,,,,,,
Other Europe,Other,,,,,,,,,,,,,,,,,
Australia,Software Products,,,,,,,,,,,,,,,,,
United States of America,Other,,,,,,,,,,,,,,,,,
Canada,Software Products,,,,,,,,,,,,,,,,,
Germany,Other,,,,,,,,,,,,,,,,,
Netherlands,Software Products,,,,,,,,,,,,,,,,,
Canada,Software Products,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,
Russia,Other,,,,,,,,,,,,,,,,,
Other Europe,Consulting,,,,,,,,,,,,,,,,,
Other Asia,Manufacturing,,,,,,,,,,,,,,,,,
South America,Other,,,,,,,,,,,,,,,,,
Canada,Retail,,,,,,,,,,,,,,,,,
Other Europe,Education,,,,,,,,,,,,,,,,,
Other Europe,Education,,,,,,,,,,,,,,,,,
Germany,Other,,,,,,,,,,,,,,,,,
United States of America,Other,,,,,,,,,,,,,,,,,
France,Finance / Banking,,,,,,,,,,,,,,,,,
United States of America,Web Services,,,,,,,,,,,,,,,,,
India,Consulting,,,,,,,,,,,,,,,,,
Netherlands,Software Products,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,
United States of America,Consulting,,,,,,,,,,,,,,,,,
Australia,Other,,,,,,,,,,,,,,,,,
Germany,Education,,,,,,,,,,,,,,,,,
India,Other,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,
Other Asia,Finance / Banking,,,,,,,,,,,,,,,,,
Other Europe,Other,,,,,,,,,,,,,,,,,
Australasia,Other,,,,,,,,,,,,,,,,,
Africa,,,,,,,,,,,,,,,,,,
Canada,Other,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,
United Kingdom,Other,,,,,,,,,,,,,,,,,
United States of America,Healthcare,,,,,,,,,,,,,,,,,
Other Europe,Finance / Banking,,,,,,,,,,,,,,,,,
Germany,Other,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,
Germany,Web Services,,,,,,,,,,,,,,,,,
Other Europe,Foundation / Non-Profit,,,,,,,,,,,,,,,,,
United States of America,Finance / Banking,,,,,,,,,,,,,,,,,
Other Europe,Web Services,,,,,,,,,,,,,,,,,
Other Europe,Software Products,,,,,,,,,,,,,,,,,
Central America,,,,,,,,,,,,,,,,,,
Other Asia,Retail,,,,,,,,,,,,,,,,,
South America,Software Products,,,,,,,,,,,,,,,,,
United Kingdom,Other,,,,,,,,,,,,,,,,,
Other Europe,Software Products,,,,,,,,,,,,,,,,,
Russia,Software Products,,,,,,,,,,,,,,,,,
Canada,Consulting,,,,,,,,,,,,,,,,,
United States of America,,,,,,,,,,,,,,,,,,
Other Europe,Web Services,,,,,,,,,,,,,,,,,
United States of America,Web Services,,,,,,,,,,,,,,,,,
United States of America,Web Services,,,,,,,,,,,,,,,,,
Other Europe,Software Products,,,,,,,,,,,,,,,,,
Other Asia,Software Products,,,,,,,,,,,,,,,,,
Canada,Software Products,,,,,,,,,,,,,,,,,
Other Europe,Web Services,,,,,,,,,,,,,,,,,
Other Europe,Software Products,,,,,,,,,,,,,,,,,
