string_field_0,string_field_5,string_field_6,string_field_7,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_51,string_field_52,string_field_53
Response,Response,Response,Response,C,C++,C#,Java,JavaScript,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify)
What Country do you live in?,How many years of IT/Programming experience do you have?,Which of the following best describes your occupation?,"Including bonus, what is your annual compensation in USD?",Which of the following languages or technologies have you used significantly in the past year?,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,
Myanmar [Burma],,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,
Macedonia [FYROM],,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
