string_field_0,string_field_4,string_field_5,string_field_11,string_field_12,string_field_13,string_field_14,string_field_15,string_field_16,string_field_17,string_field_18,string_field_19,string_field_20,string_field_21,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50
Belgium,11+ years,Back-end web developer,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,
India,1 - 2 years,Back-end web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,,,,,,Wordpress,
N/A,11+ years,Back-end web developer,,C++,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,6 - 10 years,Back-end web developer,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
India,6 - 10 years,Back-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
Germany,1 - 2 years,Data scientist,,,,,,,,,,,,,,,,Java,,,Matlab,,,,,,Python,,,,,,,,,,,,,,,
N/A,6 - 10 years,Designer,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,2 - 5 years,Designer,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,2 - 5 years,Desktop developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
India,Less than 1 year,Desktop developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,11+ years,Desktop developer,,,,,,,,,,,F#,,,Haskell,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,Embedded application developer,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Poland,Less than 1 year,Embedded application developer,C,C++,C++11,,,,,,,,,,,,,Java,JavaScript,,Matlab,,,,,PHP,Python,,,,,,,,,SQL,,,,,,
India,1 - 2 years,Front-end web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
India,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,SQL Server,,,,,
Switzerland,11+ years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,,,,,,,,,,,SQL,,,,,,
Turkey,1 - 2 years,Front-end web developer,,C++,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,Scala,,,,,,,,,
Germany,6 - 10 years,Full-stack web developer,C,,,,,,,,,,,,,,,,JavaScript,LAMP,,MongoDB,,,,PHP,Python,,,,,,,,,SQL,,,,,,
N/A,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Germany,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,Ruby,,,,,,,,,,,Wordpress,
India,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,
Iran,6 - 10 years,Full-stack web developer,,,,C#,,,Cordova,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,Windows Phone,,
Netherlands,6 - 10 years,Full-stack web developer,,C++,,C#,,,,,,,,,,Haskell,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Russian Federation,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
United Kingdom,Less than 1 year,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,SQL Server,,,,,
India,2 - 5 years,Mobile developer,C,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Italy,11+ years,Mobile developer,,,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,1 - 2 years,Mobile developer - Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,1 - 2 years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
Austria,2 - 5 years,Student,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
N/A,2 - 5 years,Student,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Australia,1 - 2 years,Student,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
Belgium,2 - 5 years,Student,C,C++,C++11,C#,,,,,,,,,,,,Java,JavaScript,,Matlab,,,,,PHP,,,,,,,Scala,,,SQL,,,,,,
Brazil,Less than 1 year,Student,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Czech Republic,6 - 10 years,Student,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,PHP,Python,,,,,,,,,,,,Visual Basic,,,
India,Less than 1 year,Student,C,C++,,C#,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
Portugal,Less than 1 year,Student,,,,,,,,,,,,,,,,,,,,,,,,PHP,Python,R,,,,,,,,SQL,,,,,,
United States,2 - 5 years,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United States,1 - 2 years,Student,C,,,,,,,,,,,,,,iOS,,JavaScript,,,,Node.js,Objective-C,,,,,,Ruby,,,,,,,,,,,,
Finland,11+ years,System administrator,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,2 - 5 years,System administrator,C,C++,C++11,C#,Cassandra,CoffeeScript,Cordova,Clojure,"Cloud (AWS, GAE, Azure, etc.)",Dart,F#,Go,Hadoop,Haskell,iOS,Java,JavaScript,LAMP,Matlab,MongoDB,Node.js,Objective-C,Perl,PHP,Python,R,Redis,Ruby,Rust,Salesforce,Scala,Sharepoint,Spark,SQL,SQL Server,Swift,Visual Basic,Windows Phone,Wordpress,
Japan,2 - 5 years,,,,,,,,,,,,,,,,iOS,Java,,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,C#,,,,,,,F#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,11+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua & Deps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,11+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,6 - 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,11+ years,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,Fortran
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Less than 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland {Republic},Less than 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland {Republic},Less than 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland {Republic},11+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,11+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea South,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,11+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Less than 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,6 - 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,11+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,11+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Less than 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,11+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,11+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,6 - 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,11+ years,Back-end web developer,,,,C#,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,,SQL Server,,,Windows Phone,,Xamarin
Syria,1 - 2 years,Back-end web developer,,C++,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
India,Less than 1 year,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,11+ years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,SQL,,,,,,
Germany,Less than 1 year,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
United Kingdom,11+ years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
United States,6 - 10 years,Desktop developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,Redis,,,,,,,,SQL Server,,,,,
Switzerland,2 - 5 years,Desktop developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
Austria,2 - 5 years,Developer with a statistics or mathematics background,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
United States,11+ years,Developer with a statistics or mathematics background,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
United States,6 - 10 years,Developer with a statistics or mathematics background,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,
United States,11+ years,Embedded application developer,C,C++,,,,,,,,,,,,,,,,,,,Node.js,,,PHP,,,,,,,,,,,,,,,,
Luxembourg,11+ years,Enterprise level services developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,,,,,,,,,,SQL,,,,,Wordpress,
India,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
N/A,1 - 2 years,Front-end web developer,,,,,,,,,,,,,,,,,,,,,,Objective-C,,,,,,,Rust,,,,,,,Swift,,,,
Armenia,1 - 2 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
Hungary,6 - 10 years,Front-end web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
N/A,6 - 10 years,Full-stack web developer,,C++,C++11,,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,
N/A,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,Ruby,,,,,,SQL,,,,,,
Germany,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,,,,,,,,,,,,
United States,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,Wordpress,
Vietnam,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
N/A,,Graphics programmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2 - 5 years,Mobile developer,,,,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,,,,,,,,,,,,Swift,,,,
N/A,1 - 2 years,Mobile developer - Android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,1 - 2 years,Mobile developer - iOS,C,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
United States,6 - 10 years,Quality Assurance,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,Python,,,,,,,,,,,,,Windows Phone,,
N/A,6 - 10 years,Student,C,C++,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,Hadoop,,,,,,,,,,,,Python,,,,,,,,Spark,,,,,,,
N/A,2 - 5 years,Student,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
Germany,2 - 5 years,Student,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
United Kingdom,1 - 2 years,Student,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
N/A,6 - 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,6 - 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,2 - 5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
