string_field_0,string_field_4,string_field_5,string_field_11,string_field_12,string_field_13,string_field_14,string_field_15,string_field_16,string_field_17,string_field_18,string_field_19,string_field_20,string_field_21,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50
Turkey,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Less than 1 year,Mobile developer - Android,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2 - 5 years,Student,,,,,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
United States,2 - 5 years,System administrator,C,,,,,,,,,,,,,Haskell,,,,,,,,,,,,,,,,,,,,,,,,,,
France,11+ years,,,C++,C++11,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
France,11+ years,,,C++,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
United Kingdom,6 - 10 years,Back-end web developer,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United Kingdom,1 - 2 years,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,Wordpress,
New Zealand,11+ years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
Germany,6 - 10 years,Desktop developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,6 - 10 years,Embedded application developer,C,C++,C++11,,,,,Clojure,,,,Go,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
United States,11+ years,Enterprise level services developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,,,,,,,
Austria,6 - 10 years,Enterprise level services developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,Redis,,,,,,,SQL,SQL Server,,,,,
France,11+ years,Full-stack web developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharepoint,,,SQL Server,,,,,
France,11+ years,Full-stack web developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Portugal,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,
United States,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,MongoDB,,,,PHP,,,,,,,,,,SQL,,,,,,
Netherlands,1 - 2 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Canada,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Canada,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,iOS,Java,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
Canada,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,MongoDB,Node.js,,,PHP,Python,,,,,,,,,SQL,SQL Server,,,,,MeteorJS
Poland,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
France,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,Ruby,,,,,,,,,,,,
Germany,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,,,,,,,Perl,,,,,,,,,,,SQL,,,,,,
India,Less than 1 year,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
United Kingdom,11+ years,Full-stack web developer,,,,C#,,,,,,,F#,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,SQL Server,,Visual Basic,,,
Sweden,11+ years,Full-stack web developer,,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,,Redis,,,,,,,SQL,,,,,,
New Zealand,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,Ruby,,,,,,SQL,,,,,Wordpress,
United Kingdom,2 - 5 years,Full-stack web developer,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,
United States,1 - 2 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,Node.js,,Perl,,,,,,,,,,,SQL,,,,,,
United States,11+ years,Graphics programmer,C,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,6 - 10 years,Growth hacker,C,,C++11,,,CoffeeScript,,,,,,Go,,,,,JavaScript,,,MongoDB,,,,PHP,Python,,Redis,,,,,,,,,,,,,
United States,2 - 5 years,System administrator,,,,,,,,,,,,,,,,Java,,,,,,,Perl,,,,,,,,,,,,,,,,,
